iter	F1	Logloss
552	0.8710092342	0.315245545
553	0.8709460813	0.3151274972
554	0.8710375279	0.3150017914
555	0.8711987477	0.3148703407
556	0.8708545964	0.314770996
557	0.8711987477	0.3146253194
558	0.8721329963	0.3143543742
559	0.8719152736	0.3142408689
560	0.8720417505	0.3140844616
561	0.8719785074	0.313982376
562	0.8724139481	0.3139213394
563	0.8724139481	0.3137976294
564	0.8728770491	0.3135881678
565	0.8728770491	0.3134110884
566	0.8726872821	0.3132280264
567	0.8725329649	0.3130946198
568	0.8726872821	0.3129543654
569	0.8726872821	0.3128422367
570	0.8730590412	0.3126709618
571	0.8730946081	0.31253932
572	0.8735378009	0.3124153773
573	0.8736562695	0.3121932298
574	0.8735020589	0.3119303716
575	0.8735929512	0.3117107614
576	0.8738379267	0.3114983738
577	0.8740553223	0.311232754
578	0.8739286982	0.3111287907
579	0.8741460425	0.3109854613
580	0.8738379267	0.3107839893
581	0.8744900295	0.3105883996
582	0.8747073411	0.3104071689
583	0.8746439895	0.310261639
584	0.8747979075	0.3101157962
585	0.8748884359	0.310008722
586	0.8753591083	0.3098075974
587	0.875422504	0.3096964214
588	0.8759203271	0.3094208791
589	0.8756761789	0.309289884
590	0.8762376061	0.3090939974
591	0.8762107955	0.3089915235
592	0.8761204638	0.3088426342
593	0.8760300942	0.3087630337
594	0.8759396867	0.3085534614
595	0.876066735	0.3084608408
596	0.8765651997	0.3083224651
597	0.8769097947	0.3081763489
598	0.8768462033	0.3081427961
599	0.8768195374	0.3079412531
66841115
